chodzenie
{
-10,15	-0,587	0,389
-10,226	-0,664	0,265
-10,301	-0,969	0,489
-9,784	-1,166	0,564
-9,819	-0,973	0,573
-11,03	-3,005	0,019
-10,098	-2,97	0,591
-8,912	-2,943	0,644
-10,102	-0,993	-1,751
-10,394	-6,278	0,222
-9,38	-0,641	3,394
-11,771	-1,4	2,052
-9,439	-0,739	1,269
-7,183	-0,688	0,934
-12,103	-1,279	-1,585
-17,014	1,297	-2,745
-10,106	-0,163	4,371
-10,643	-1,316	0,028
-6,704	-0,391	0,313
-7,548	-1,896	-1,01
-13,295	-5,919	-1,349
-9,198	-3,16	5,59
-11,495	-1,423	0,094
-8,321	-0,285	-2,177
-6,82	0,405	-0,968
-10,422	1,42	0,847
-12,873	0,904	4,436
-13,712	-2,918	-1,643
-6,664	0,068	0,177
-7,441	-1,825	-1,526
-12,187	-3,193	-0,682
-11,983	-5,006	6,67
-13,001	-0,786	0,671
-8,883	-1,618	-1,49
-7,041	0,332	-0,734
-9,933	-0,67	-0,013
-14,048	1,612	0,98
-12,575	-1,685	-0,29
-7,795	-1,006	-0,688
-6,269	-0,785	-0,182
-10,092	0,576	1,368
-14,704	-0,312	0,277
-11,111	-0,387	4,07
-8,351	-4,124	2,31
-6,992	-0,113	0,924
-9,135	-0,695	-1,686
-12,043	3,541	-4,103
-11,253	0,155	4,215
-11,548	-0,335	1,108
-8,6	-1,636	0,872
-8,236	-1,379	-0,031
-9,183	0,626	-0,381
-12,953	-1,193	-1,469
-12,177	0,774	3,717
-9,431	-1,454	2,833
-8,629	-1,437	1,522
-9,563	-1,093	0,33
-10,532	-0,177	2,566
-8,198	0,143	2,285
-9,936	-2,082	1,077
-10,154	-1,467	0,865
-9,893	-0,897	0,456
-10,115	-1,389	0,989
-10,331	-0,695	0,902
-10,414	-1,008	0,365
-9,966	-0,97	0,692
-9,857	-1,279	0,717
-10,263	-1,197	0,798
-10,375	-1,12	0,68
-9,931	-1,277	0,797
-10,258	-0,926	1,011
}

obrot
{
-10,155	-1,125	0,402
-10,044	-1,05	0,367
-10,305	-1,239	0,395
-10,117	-1,162	0,601
-9,929	-0,857	0,538
-10,08	-1,01	0,449
-8,701	-1,053	1,34
-11,157	-0,965	0,08
-7,485	-0,883	4,201
-11,453	-1,609	0,725
-10,932	-1,002	0,441
-10,21	0,379	0,797
-9,967	1,083	2,194
-10,405	1,589	2,375
-8,991	-1,044	1,978
-12,032	-3,759	0,572
-9,597	-1,89	1,41
-9,379	-2,581	1,737
-9,259	-2,193	2,198
-9,633	-3,107	2,788
-9,194	-1,404	4,238
-10,282	-0,379	1,798
-9,994	-0,314	0,924
-10,363	-1,109	1,841
-9,507	-0,732	1,868
-9,889	-1,349	1,354
-9,964	-0,969	0,852
}

chodzenie
{
-10,149	-1,157	1,041
-10,041	-1,161	0,802
-9,743	-1,086	0,848
-10,068	-0,427	1,078
-10,116	-0,894	0,454
-9,004	-1,972	1,531
-10,607	-1,585	0,095
-9,206	-2,404	0,348
-9,402	-2,223	-0,965
-10,209	-2,436	0,016
-11,474	-5,55	-1,112
-8,603	-1,83	4,542
-12,337	-1,747	1,389
-7,825	-2,446	1,439
-6,413	-1,199	0,636
-9,668	-2,114	1,998
-14,985	-0,446	1,908
-11,992	-2,729	3,544
-8,923	-1,546	1,833
-5,611	1,064	0,757
-9,779	-1,923	1,766
-14,93	-5,373	-6,098
-10,953	-2,623	3,639
-8,685	-3,588	1,774
-5,778	-0,095	0,097
-9,993	-0,197	-2,79
-13,498	2,745	-4,358
-14,318	-0,986	2,488
-10,441	-1,188	1,516
-5,76	0,645	1,095
-10,464	-2,884	-2,729
-14,779	-9,218	-1,969
-12,288	-0,405	4,897
-9,016	-3,658	2,087
-5,152	-0,638	0,277
-9,466	0,301	-2,48
-12,996	3,332	-2,883
-14,814	-1,071	1,118
-10,973	-1,044	-0,002
-5,985	1,103	0,435
-7,721	-2,453	-3
-13,621	-7,467	-6,47
-12,316	-2,338	7,76
-10,675	-2,378	1,534
-6,176	-0,501	1,433
-8,281	-0,092	-2,087
-12,082	5,175	-2,262
-10,03	0,105	4,305
-11,911	-1,808	-0,45
-8,159	-1,225	0,097
-7,327	-2,053	-1,056
-8,179	1,115	-0,546
-14,103	-4,877	2,015
-12,534	-0,54	2,728
-7,839	-2,994	4,252
-9,466	-0,12	1,619
-10,087	-1,284	-0,045
-8,504	-0,701	2,2
-11,958	-1,63	5,839
-8,936	-2,929	1,964
-9,788	-2,922	1,876
-10,114	-2,454	2,176
-9,891	-1,885	1,647
-10,258	-1,421	1,506
-10,111	-1,461	1,506
-9,93	-1,658	1,218
-10,144	-1,343	1,751
-10,03	-1,074	1,766
-10,065	-0,92	1,813
}

obrot
{
-9,922	-1,078	1,487
-10,146	-1,116	1,363
-10,213	-0,651	1,585
-10,214	-0,691	1,463
-9,695	-1,381	2,234
-9,616	-2,062	3,441
-9,224	-2,919	2,722
-9,664	-3,215	3,463
-9,404	-2,226	2,595
-9,663	-2,795	3,164
-9,715	-2,314	1,227
-9,727	-2,783	0,444
-10,155	-1,468	0,745
-9,519	-2,953	2,877
-10,713	1,009	1,743
-9,428	-0,233	1,894
-10,132	0,117	1,545
-10,518	-0,733	0,818
-10,349	0,353	1,834
-9,625	-0,89	1,379
-10,452	-1,427	0,664
-10,738	-0,615	0,862
-10,258	-0,773	0,899
-10,334	-1,155	1,039
-9,787	-1,625	0,741
-10,188	-0,816	0,497
-10,042	-1,2	0,72
-10,111	-0,813	0,858
}

chodzenie
{
-10,22	-0,62	0,827
-10,074	-0,814	0,819
-10,031	-0,58	1,151
-10,065	-0,577	1,511
-10,111	-1,157	1,161
-9,993	-0,237	0,928
-9,962	-1,843	1,928
-11,011	-1,882	0,796
-8,824	-2,663	1,779
-8,61	-2,598	0,864
-11,394	-2,691	0,312
-13,326	-5,457	2,474
-7,746	-2,367	5,564
-9,047	-1,026	3,698
-7,274	-0,858	3,044
-8,447	-0,338	0,099
-9,376	-1,854	1,334
-14,019	1,412	4,13
-12,223	-1,708	1,632
-8,526	-1,066	0,301
-5,856	-0,251	-0,191
-11,413	-2,101	1,541
-16,899	-3,916	-0,805
-9,73	-0,237	5,011
-8,568	-3,165	1,876
-6,471	0,075	1,019
-10,025	-0,458	-2,003
-12,889	1,081	-4,755
-13,348	-0,036	2,305
-11,012	-0,893	-0,275
-5,917	0,106	0,826
-8,241	-2,449	-3,125
-13,067	-9,835	-4,262
-10,247	-0,802	5,737
