Shimmer2	Shimmer2	Shimmer2	Shimmer2	Annotation	Annotation
Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Pulse	Level
mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	Boolean	Boolean
777666,046	7,923	1,669	1,763	0,000	0,000
777763,702	9,455	0,755	0,292	0,000	0,000
777861,359	7,837	1,581	0,597	0,000	0,000
777959,015	9,611	1,599	0,256	0,000	0,000
778056,671	9,017	2,593	-0,940	0,000	0,000
778154,327	11,111	0,117	3,597	0,000	0,000
778251,984	12,918	4,850	1,772	0,000	0,000
778349,640	8,285	2,419	0,204	0,000	0,000
778447,296	7,955	2,768	0,178	0,000	0,000
778544,952	7,240	1,659	0,075	0,000	0,000
778642,609	7,967	0,915	-0,555	0,000	0,000
778740,265	10,935	2,909	-2,025	0,000	0,000
778837,921	10,434	6,090	0,249	0,000	0,000
778935,577	6,786	2,110	2,373	0,000	0,000
779033,234	6,898	2,758	1,887	0,000	0,000
779130,890	7,763	0,897	1,282	0,000	0,000
779228,546	7,915	1,470	1,113	0,000	0,000
779326,202	8,228	2,171	-1,609	0,000	0,000
779423,859	8,969	1,212	-0,570	0,000	0,000
779521,515	11,292	0,645	-1,095	0,000	0,000
779619,171	10,326	4,534	2,170	0,000	0,000
779716,827	6,973	2,605	2,120	0,000	0,000
779814,484	7,739	2,167	1,346	0,000	0,000
779912,140	7,986	1,695	0,605	0,000	0,000
780009,796	8,062	2,268	0,234	0,000	0,000
780107,452	8,416	3,390	1,214	0,000	0,000
780205,109	9,224	4,555	-0,680	0,000	0,000
780302,765	13,309	4,790	3,893	0,000	0,000
780400,421	8,203	2,715	2,818	0,000	0,000
780498,077	9,555	1,008	2,666	0,000	0,000
780595,734	8,427	2,639	3,056	0,000	0,000
780693,390	7,747	1,871	2,491	0,000	0,000
780791,046	9,444	0,211	-0,215	0,000	0,000
780888,702	8,118	0,764	-0,121	0,000	0,000
780986,359	8,694	1,084	-2,099	0,000	0,000
781084,015	11,520	1,674	5,879	0,000	0,000
781181,671	12,542	3,897	2,200	0,000	0,000
781279,327	8,292	2,845	0,465	0,000	0,000
781376,984	7,662	2,470	0,800	0,000	0,000
781474,640	8,594	0,945	-0,787	0,000	0,000
781572,296	8,395	3,063	-0,643	0,000	0,000
781669,952	9,437	1,574	-2,347	0,000	0,000
781767,609	10,159	7,371	1,150	0,000	0,000
781865,265	8,473	0,401	2,465	0,000	0,000
781962,921	8,184	1,363	2,190	0,000	0,000
782060,577	7,322	1,171	1,372	0,000	0,000
782158,234	8,127	1,116	0,457	0,000	0,000
782255,890	8,637	1,445	-0,721	0,000	0,000
782353,546	8,912	2,372	-0,072	0,000	0,000
782451,202	9,017	2,365	-0,672	0,000	0,000
782548,859	10,744	0,430	-0,151	0,000	0,000
782646,515	8,783	5,475	2,442	0,000	0,000
782744,171	9,101	1,384	1,320	0,000	0,000
782841,827	7,401	1,975	1,093	0,000	0,000
782939,484	8,482	2,619	1,176	0,000	0,000
783037,140	8,934	1,214	-0,410	0,000	0,000
783134,796	10,079	2,227	2,012	0,000	0,000
783232,452	8,949	1,382	0,959	0,000	0,000
783330,109	9,234	1,253	-0,045	0,000	0,000
783427,765	7,962	1,366	2,268	0,000	0,000
783525,421	9,164	1,144	0,469	0,000	0,000
783623,077	8,877	1,727	0,775	0,000	0,000
783720,734	9,138	1,840	0,823	0,000	0,000
783818,390	8,724	1,571	0,486	0,000	0,000
783916,046	9,058	1,683	0,415	0,000	0,000
784013,702	8,837	1,572	0,607	0,000	0,000
784111,359	8,837	1,914	0,264	0,000	0,000
784209,015	8,725	1,610	0,528	0,000	0,000
784306,671	9,212	1,839	0,824	0,000	0,000
784404,327	9,026	1,993	0,630	0,000	0,000
784501,984	8,622	2,190	0,716	0,000	0,000
784599,640	8,914	1,916	0,545	0,000	0,000
784697,296	8,876	1,764	0,697	0,000	0,000
784794,952	8,952	1,765	0,818	0,000	0,000
784892,609	8,839	1,916	0,464	0,000	0,000
784990,265	8,877	1,879	0,623	0,000	0,000
785087,921	8,988	1,954	0,508	0,000	0,000
785185,577	8,725	1,838	0,259	0,000	0,000
785283,234	8,652	1,840	0,379	0,000	0,000
785380,890	8,692	2,071	0,430	0,000	0,000
785478,546	9,066	1,920	1,027	0,000	0,000
785576,202	8,804	1,843	0,820	0,000	0,000
785673,859	8,691	1,804	0,617	0,000	0,000
785771,515	8,841	1,880	0,702	0,000	0,000
785869,171	8,986	1,914	0,346	0,000	0,000
785966,827	9,135	1,990	0,431	0,000	0,000
786064,484	8,506	1,958	0,463	0,000	0,000
786162,140	8,953	2,032	0,631	0,000	0,000
786259,796	8,729	1,957	0,585	0,000	0,000
786357,452	8,691	1,919	0,543	0,000	0,000
786455,109	8,912	1,991	0,309	0,000	0,000
786552,765	8,988	1,878	0,584	0,000	0,000
786650,421	8,577	2,069	0,109	0,000	0,000
786748,077	8,986	1,876	0,464	0,000	0,000
786845,734	8,762	1,877	0,261	0,000	0,000
786943,390	8,952	1,879	0,703	0,000	0,000
787041,046	8,953	2,108	0,555	0,000	0,000
787138,702	8,879	2,224	0,480	0,000	0,000
787236,359	8,653	1,993	0,306	0,000	0,000
787334,015	8,653	1,993	0,306	0,000	0,000
787431,671	8,986	2,028	0,271	0,000	0,000
787529,327	8,913	2,106	0,314	0,000	0,000
787626,984	9,031	2,112	0,996	0,000	0,000
787724,640	8,390	1,802	0,174	0,000	0,000
787822,296	8,685	1,836	0,019	0,000	0,000
787919,952	9,323	1,724	0,939	0,000	0,000
788017,609	8,726	1,650	0,610	0,000	0,000
788115,265	8,505	1,691	0,690	0,000	0,000
788212,921	8,954	1,729	1,056	0,000	0,000
